"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2022 Week 36 ending September 10, 2022","2022/36",408,Not Applicable,Not Applicable
,"2022 Week 37 ending September 17, 2022","2022/37",415,Not Applicable,Not Applicable
,"2022 Week 38 ending September 24, 2022","2022/38",383,Not Applicable,Not Applicable
,"2022 Week 39 ending October 01, 2022","2022/39",408,Not Applicable,Not Applicable
,"2022 Week 40 ending October 08, 2022","2022/40",388,Not Applicable,Not Applicable
,"2022 Week 41 ending October 15, 2022","2022/41",431,Not Applicable,Not Applicable
,"2022 Week 42 ending October 22, 2022","2022/42",425,Not Applicable,Not Applicable
,"2022 Week 43 ending October 29, 2022","2022/43",406,Not Applicable,Not Applicable
,"2022 Week 44 ending November 05, 2022","2022/44",425,Not Applicable,Not Applicable
,"2022 Week 45 ending November 12, 2022","2022/45",447,Not Applicable,Not Applicable
,"2022 Week 46 ending November 19, 2022","2022/46",403,Not Applicable,Not Applicable
,"2022 Week 47 ending November 26, 2022","2022/47",414,Not Applicable,Not Applicable
,"2022 Week 48 ending December 03, 2022","2022/48",445,Not Applicable,Not Applicable
,"2022 Week 49 ending December 10, 2022","2022/49",388,Not Applicable,Not Applicable
,"2022 Week 50 ending December 17, 2022","2022/50",430,Not Applicable,Not Applicable
,"2022 Week 51 ending December 24, 2022","2022/51",438,Not Applicable,Not Applicable
,"2022 Week 52 ending December 31, 2022","2022/52",433,Not Applicable,Not Applicable
,"2023 Week 01 ending January 07, 2023","2023/01",391,Not Applicable,Not Applicable
,"2023 Week 02 ending January 14, 2023","2023/02",419,Not Applicable,Not Applicable
,"2023 Week 03 ending January 21, 2023","2023/03",443,Not Applicable,Not Applicable
,"2023 Week 04 ending January 28, 2023","2023/04",398,Not Applicable,Not Applicable
,"2023 Week 05 ending February 04, 2023","2023/05",379,Not Applicable,Not Applicable
,"2023 Week 06 ending February 11, 2023","2023/06",386,Not Applicable,Not Applicable
,"2023 Week 07 ending February 18, 2023","2023/07",390,Not Applicable,Not Applicable
,"2023 Week 08 ending February 25, 2023","2023/08",411,Not Applicable,Not Applicable
,"2023 Week 09 ending March 04, 2023","2023/09",412,Not Applicable,Not Applicable
,"2023 Week 10 ending March 11, 2023","2023/10",416,Not Applicable,Not Applicable
,"2023 Week 11 ending March 18, 2023","2023/11",404,Not Applicable,Not Applicable
,"2023 Week 12 ending March 25, 2023","2023/12",438,Not Applicable,Not Applicable
,"2023 Week 13 ending April 01, 2023","2023/13",420,Not Applicable,Not Applicable
,"2023 Week 14 ending April 08, 2023","2023/14",400,Not Applicable,Not Applicable
,"2023 Week 15 ending April 15, 2023","2023/15",381,Not Applicable,Not Applicable
,"2023 Week 16 ending April 22, 2023","2023/16",413,Not Applicable,Not Applicable
,"2023 Week 17 ending April 29, 2023","2023/17",403,Not Applicable,Not Applicable
,"2023 Week 18 ending May 06, 2023","2023/18",387,Not Applicable,Not Applicable
,"2023 Week 19 ending May 13, 2023","2023/19",397,Not Applicable,Not Applicable
,"2023 Week 20 ending May 20, 2023","2023/20",372,Not Applicable,Not Applicable
,"2023 Week 21 ending May 27, 2023","2023/21",393,Not Applicable,Not Applicable
,"2023 Week 22 ending June 03, 2023","2023/22",390,Not Applicable,Not Applicable
,"2023 Week 23 ending June 10, 2023","2023/23",398,Not Applicable,Not Applicable
,"2023 Week 24 ending June 17, 2023","2023/24",385,Not Applicable,Not Applicable
,"2023 Week 25 ending June 24, 2023","2023/25",395,Not Applicable,Not Applicable
,"2023 Week 26 ending July 01, 2023","2023/26",381,Not Applicable,Not Applicable
,"2023 Week 27 ending July 08, 2023","2023/27",356,Not Applicable,Not Applicable
,"2023 Week 28 ending July 15, 2023","2023/28",419,Not Applicable,Not Applicable
,"2023 Week 29 ending July 22, 2023","2023/29",397,Not Applicable,Not Applicable
,"2023 Week 30 ending July 29, 2023","2023/30",355,Not Applicable,Not Applicable
,"2023 Week 31 ending August 05, 2023","2023/31",404,Not Applicable,Not Applicable
,"2023 Week 32 ending August 12, 2023","2023/32",417,Not Applicable,Not Applicable
,"2023 Week 33 ending August 19, 2023","2023/33",383,Not Applicable,Not Applicable
,"2023 Week 34 ending August 26, 2023","2023/34",406,Not Applicable,Not Applicable
,"2023 Week 35 ending September 02, 2023","2023/35",388,Not Applicable,Not Applicable
,"2023 Week 36 ending September 09, 2023","2023/36",360,Not Applicable,Not Applicable
,"2023 Week 37 ending September 16, 2023","2023/37",360,Not Applicable,Not Applicable
,"2023 Week 38 ending September 23, 2023","2023/38",428,Not Applicable,Not Applicable
,"2023 Week 39 ending September 30, 2023","2023/39",414,Not Applicable,Not Applicable
,"2023 Week 40 ending October 07, 2023","2023/40",377,Not Applicable,Not Applicable
,"2023 Week 41 ending October 14, 2023","2023/41",401,Not Applicable,Not Applicable
,"2023 Week 42 ending October 21, 2023","2023/42",360,Not Applicable,Not Applicable
,"2023 Week 43 ending October 28, 2023","2023/43",391,Not Applicable,Not Applicable
,"2023 Week 44 ending November 04, 2023","2023/44",413,Not Applicable,Not Applicable
,"2023 Week 45 ending November 11, 2023","2023/45",413,Not Applicable,Not Applicable
,"2023 Week 46 ending November 18, 2023","2023/46",397,Not Applicable,Not Applicable
,"2023 Week 47 ending November 25, 2023","2023/47",375,Not Applicable,Not Applicable
,"2023 Week 48 ending December 02, 2023","2023/48",378,Not Applicable,Not Applicable
,"2023 Week 49 ending December 09, 2023","2023/49",435,Not Applicable,Not Applicable
,"2023 Week 50 ending December 16, 2023","2023/50",417,Not Applicable,Not Applicable
,"2023 Week 51 ending December 23, 2023","2023/51",416,Not Applicable,Not Applicable
,"2023 Week 52 ending December 30, 2023","2023/52",443,Not Applicable,Not Applicable
,"2024 Week 01 ending January 06, 2024 (provisional)","2024/01",397,Not Applicable,Not Applicable
,"2024 Week 02 ending January 13, 2024 (provisional)","2024/02",418,Not Applicable,Not Applicable
,"2024 Week 03 ending January 20, 2024 (provisional)","2024/03",357,Not Applicable,Not Applicable
,"2024 Week 04 ending January 27, 2024 (provisional)","2024/04",433,Not Applicable,Not Applicable
,"2024 Week 05 ending February 03, 2024 (provisional)","2024/05",449,Not Applicable,Not Applicable
,"2024 Week 06 ending February 10, 2024 (provisional)","2024/06",431,Not Applicable,Not Applicable
,"2024 Week 07 ending February 17, 2024 (provisional)","2024/07",387,Not Applicable,Not Applicable
,"2024 Week 08 ending February 24, 2024 (provisional)","2024/08",374,Not Applicable,Not Applicable
,"2024 Week 09 ending March 02, 2024 (provisional)","2024/09",383,Not Applicable,Not Applicable
,"2024 Week 10 ending March 09, 2024 (provisional)","2024/10",406,Not Applicable,Not Applicable
,"2024 Week 11 ending March 16, 2024 (provisional)","2024/11",396,Not Applicable,Not Applicable
,"2024 Week 12 ending March 23, 2024 (provisional)","2024/12",404,Not Applicable,Not Applicable
,"2024 Week 13 ending March 30, 2024 (provisional)","2024/13",425,Not Applicable,Not Applicable
,"2024 Week 14 ending April 06, 2024 (provisional)","2024/14",384,Not Applicable,Not Applicable
,"2024 Week 15 ending April 13, 2024 (provisional)","2024/15",408,Not Applicable,Not Applicable
,"2024 Week 16 ending April 20, 2024 (provisional)","2024/16",403,Not Applicable,Not Applicable
,"2024 Week 17 ending April 27, 2024 (provisional)","2024/17",378,Not Applicable,Not Applicable
,"2024 Week 18 ending May 04, 2024 (provisional)","2024/18",377,Not Applicable,Not Applicable
,"2024 Week 19 ending May 11, 2024 (provisional)","2024/19",384,Not Applicable,Not Applicable
,"2024 Week 20 ending May 18, 2024 (provisional)","2024/20",420,Not Applicable,Not Applicable
,"2024 Week 21 ending May 25, 2024 (provisional)","2024/21",399,Not Applicable,Not Applicable
,"2024 Week 22 ending June 01, 2024 (provisional)","2024/22",391,Not Applicable,Not Applicable
,"2024 Week 23 ending June 08, 2024 (provisional)","2024/23",372,Not Applicable,Not Applicable
,"2024 Week 24 ending June 15, 2024 (provisional)","2024/24",396,Not Applicable,Not Applicable
,"2024 Week 25 ending June 22, 2024 (provisional)","2024/25",380,Not Applicable,Not Applicable
,"2024 Week 26 ending June 29, 2024 (provisional)","2024/26",388,Not Applicable,Not Applicable
,"2024 Week 27 ending July 06, 2024 (provisional)","2024/27",382,Not Applicable,Not Applicable
,"2024 Week 28 ending July 13, 2024 (provisional)","2024/28",394,Not Applicable,Not Applicable
,"2024 Week 29 ending July 20, 2024 (provisional)","2024/29",361,Not Applicable,Not Applicable
,"2024 Week 30 ending July 27, 2024 (provisional)","2024/30",414,Not Applicable,Not Applicable
,"2024 Week 31 ending August 03, 2024 (provisional)","2024/31",392,Not Applicable,Not Applicable
,"2024 Week 32 ending August 10, 2024 (provisional)","2024/32",374,Not Applicable,Not Applicable
,"2024 Week 33 ending August 17, 2024 (provisional)","2024/33",366,Not Applicable,Not Applicable
,"2024 Week 34 ending August 24, 2024 (provisional)","2024/34",364,Not Applicable,Not Applicable
,"2024 Week 35 ending August 31, 2024 (provisional)","2024/35",340,Not Applicable,Not Applicable
,"2024 Week 36 ending September 07, 2024 (provisional)","2024/36",389,Not Applicable,Not Applicable
,"2024 Week 37 ending September 14, 2024 (provisional)","2024/37",426,Not Applicable,Not Applicable
,"2024 Week 38 ending September 21, 2024 (provisional)","2024/38",359,Not Applicable,Not Applicable
,"2024 Week 39 ending September 28, 2024 (provisional)","2024/39",387,Not Applicable,Not Applicable
,"2024 Week 40 ending October 05, 2024 (provisional)","2024/40",393,Not Applicable,Not Applicable
,"2024 Week 41 ending October 12, 2024 (provisional)","2024/41",373,Not Applicable,Not Applicable
,"2024 Week 42 ending October 19, 2024 (provisional)","2024/42",383,Not Applicable,Not Applicable
,"2024 Week 43 ending October 26, 2024 (provisional)","2024/43",391,Not Applicable,Not Applicable
,"2024 Week 44 ending November 02, 2024 (provisional)","2024/44",371,Not Applicable,Not Applicable
,"2024 Week 45 ending November 09, 2024 (provisional)","2024/45",411,Not Applicable,Not Applicable
,"2024 Week 46 ending November 16, 2024 (provisional)","2024/46",424,Not Applicable,Not Applicable
,"2024 Week 47 ending November 23, 2024 (provisional)","2024/47",400,Not Applicable,Not Applicable
,"2024 Week 48 ending November 30, 2024 (provisional)","2024/48",409,Not Applicable,Not Applicable
,"2024 Week 49 ending December 07, 2024 (provisional)","2024/49",380,Not Applicable,Not Applicable
,"2024 Week 50 ending December 14, 2024 (provisional)","2024/50",377,Not Applicable,Not Applicable
,"2024 Week 51 ending December 21, 2024 (provisional)","2024/51",419,Not Applicable,Not Applicable
,"2024 Week 52 ending December 28, 2024 (provisional)","2024/52",414,Not Applicable,Not Applicable
,"2025 Week 01 ending January 04, 2025 (provisional)","2025/01",396,Not Applicable,Not Applicable
,"2025 Week 02 ending January 11, 2025 (provisional)","2025/02",419,Not Applicable,Not Applicable
,"2025 Week 03 ending January 18, 2025 (provisional)","2025/03",429,Not Applicable,Not Applicable
,"2025 Week 04 ending January 25, 2025 (provisional)","2025/04",366,Not Applicable,Not Applicable
,"2025 Week 05 ending February 01, 2025 (provisional)","2025/05",398,Not Applicable,Not Applicable
,"2025 Week 06 ending February 08, 2025 (provisional)","2025/06",427,Not Applicable,Not Applicable
,"2025 Week 07 ending February 15, 2025 (provisional)","2025/07",430,Not Applicable,Not Applicable
,"2025 Week 08 ending February 22, 2025 (provisional)","2025/08",398,Not Applicable,Not Applicable
,"2025 Week 09 ending March 01, 2025 (provisional)","2025/09",359,Not Applicable,Not Applicable
,"2025 Week 10 ending March 08, 2025 (provisional)","2025/10",377,Not Applicable,Not Applicable
,"2025 Week 11 ending March 15, 2025 (provisional)","2025/11",378,Not Applicable,Not Applicable
,"2025 Week 12 ending March 22, 2025 (provisional)","2025/12",450,Not Applicable,Not Applicable
,"2025 Week 13 ending March 29, 2025 (provisional)","2025/13",437,Not Applicable,Not Applicable
,"2025 Week 14 ending April 05, 2025 (provisional)","2025/14",450,Not Applicable,Not Applicable
,"2025 Week 15 ending April 12, 2025 (provisional)","2025/15",452,Not Applicable,Not Applicable
,"2025 Week 16 ending April 19, 2025 (provisional)","2025/16",448,Not Applicable,Not Applicable
,"2025 Week 17 ending April 26, 2025 (provisional)","2025/17",448,Not Applicable,Not Applicable
,"2025 Week 18 ending May 03, 2025 (provisional)","2025/18",420,Not Applicable,Not Applicable
,"2025 Week 19 ending May 10, 2025 (provisional)","2025/19",409,Not Applicable,Not Applicable
,"2025 Week 20 ending May 17, 2025 (provisional)","2025/20",448,Not Applicable,Not Applicable
,"2025 Week 21 ending May 24, 2025 (provisional)","2025/21",426,Not Applicable,Not Applicable
,"2025 Week 22 ending May 31, 2025 (provisional)","2025/22",446,Not Applicable,Not Applicable
,"2025 Week 23 ending June 07, 2025 (provisional)","2025/23",447,Not Applicable,Not Applicable
,"2025 Week 24 ending June 14, 2025 (provisional)","2025/24",392,Not Applicable,Not Applicable
,"2025 Week 25 ending June 21, 2025 (provisional)","2025/25",398,Not Applicable,Not Applicable
,"2025 Week 26 ending June 28, 2025 (provisional)","2025/26",415,Not Applicable,Not Applicable
,"2025 Week 28 ending July 12, 2025 (provisional)","2025/28",417,Not Applicable,Not Applicable
,"2025 Week 27 ending July 05, 2025 (provisional)","2025/27",423,Not Applicable,Not Applicable
,"2025 Week 29 ending July 19, 2025 (provisional)","2025/29",424,Not Applicable,Not Applicable
,"2025 Week 30 ending July 26, 2025 (provisional)","2025/30",386,Not Applicable,Not Applicable
,"2025 Week 31 ending August 02, 2025 (provisional)","2025/31",397,Not Applicable,Not Applicable
,"2025 Week 32 ending August 09, 2025 (provisional)","2025/32",369,Not Applicable,Not Applicable
,"2025 Week 33 ending August 16, 2025 (provisional)","2025/33",310,Not Applicable,Not Applicable
,"2025 Week 34 ending August 23, 2025 (provisional)","2025/34",268,Not Applicable,Not Applicable
,"2025 Week 35 ending August 30, 2025 (provisional)","2025/35",202,Not Applicable,Not Applicable
,"2025 Week 36 ending September 06, 2025 (provisional)","2025/36",89,Not Applicable,Not Applicable
"Total",,,159811,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Ten-Year Age Groups: < 1 year; 1-4 years"
"UCD - ICD-10 Codes: A00-B99 (Certain infectious and parasitic diseases); C00-D48 (Neoplasms); D50-D89 (Diseases of the blood and"
"blood-forming organs and certain disorders involving the immune mechanism); E00-E88 (Endocrine, nutritional and metabolic"
"diseases); F01-F99 (Mental and behavioural disorders); G00-G98 (Diseases of the nervous system); H00-H57 (Diseases of the eye"
"and adnexa); H60-H93 (Diseases of the ear and mastoid process); I00-I99 (Diseases of the circulatory system); J00-J98 (Diseases"
"of the respiratory system); K00-K92 (Diseases of the digestive system); L00-L98 (Diseases of the skin and subcutaneous tissue);"
"M00-M99 (Diseases of the musculoskeletal system and connective tissue); N00-N98 (Diseases of the genitourinary system); O00-O99"
"(Pregnancy, childbirth and the puerperium); P00-P96 (Certain conditions originating in the perinatal period); Q00-Q99"
"(Congenital malformations, deformations and chromosomal abnormalities); R00-R99 (Symptoms, signs and abnormal clinical and"
"laboratory findings, not elsewhere classified); U01.0 (Terrorism involving explosion of marine weapons); U01.1 (Terrorism"
"involving destruction of aircraft); U01.2 (Terrorism involving other explosions and fragments); U01.3 (Terrorism involving"
"fires, conflagration, and hot substances); U01.4 (Terrorism involving firearms); U01.5 (Terrorism involving nuclear weapons);"
"U01.6 (Terrorism involving biological weapons); U01.7 (Terrorism involving chemical weapons); U01.8 (Terrorism, other"
"specified); U01.9 (Terrorism, unspecified); U02 (Sequelae of terrorism); U03.0 (Terrorism involving explosions and fragments);"
"U03.9 (Terrorism by other and unspecified means); U04.9 (Severe acute respiratory syndrome [SARS], unspecified); 999--999 (Data"
"not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.)"
"Group By: MMWR Week"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 22, 2025 12:49:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 22, 2025"
"12:49:14 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"4. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"5. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"6. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"7. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"8. Deaths occurring through September 6, 2025 as of September 14, 2025."